3650,314
,318.0
,608.0
,609.0
,964.0
3624-3627,325.0
3624-3627,608.0
3624-3627,609.0
3624-3627,964.0
3644,314.0
3644,608.0
3644,609.0
3644,964.0
3678,318.0
3678,608.0
3678,609.0
3678,964.0
3675,608.0
3675,609.0
3675,964.0
3652,314.0
3652,318.0
3652,608.0
3652,609.0
3652,964.0
3348,314.0
3348,318.0
3348,608.0
3348,609.0
3348,964.0
3694-3695,608.0
3694-3695,609.0
3694-3695,964.0
3697,314.0
3697,318.0
3697,608.0
3697,609.0
3697,964.0
3693,314.0
3693,318.0
3693,608.0
3693,609.0
3693,964.0
3681,608.0
3681,609.0
3681,964.0
3682,314.0
3682,317.0
3682,318.0
3682,608.0
3682,609.0
3682,964.0
3310,314.0
3310,318.0
3310,608.0
3310,609.0
3310,964.0
3659,314.0
3659,318.0
3659,608.0
3659,609.0
3659,964.0
3664,314.0
3664,608.0
3664,609.0
3664,964.0
3674,325.0
3674,608.0
3674,609.0
3674,964.0
3514,314.0
3514,318.0
3514,608.0
3514,609.0
3514,964.0
3705-3706,608.0
3705-3706,609.0
3705-3706,964.0
3707,608.0
3707,609.0
3707,964.0
3730,314.0
3730,608.0
3730,609.0
3730,964.0
3702,314.0
3702,608.0
3702,609.0
3702,964.0
3716,314.0
3716,318.0
3716,345.0
3716,608.0
3716,609.0
3716,964.0
3728,608.0
3728,609.0
3728,964.0
3729,325.0
3729,608.0
3729,609.0
3729,964.0
3727,314.0
3727,325.0
3727,608.0
3727,609.0
3727,964.0
3725-3726,314.0
3725-3726,608.0
3725-3726,609.0
3725-3726,964.0
3723,314.0
3723,318.0
3723,608.0
3723,609.0
3723,964.0
3724,608.0
3724,609.0
3724,964.0
3719,968.0
3711-3712,325.0
3711-3712,608.0
3711-3712,609.0
3711-3712,964.0
3747,318.0
3747,608.0
3747,609.0
3747,964.0
3704,608.0
3704,609.0
3704,964.0
3720,314.0
3720,338.0
3720,608.0
3720,609.0
3720,964.0
3734,314.0
3734,318.0
3734,608.0
3734,609.0
3734,964.0
3736,314.0
3736,318.0
3736,608.0
3736,609.0
3736,964.0
3744,608.0
3744,609.0
3744,964.0
3679,314.0
3679,318.0
3679,345.0
3679,608.0
3679,609.0
3679,964.0
3676,345.0
3676,608.0
3676,609.0
3676,964.0
3700,314.0
